ID,Education,JoiningYear,City,Age,ExperienceInCurrentDomain,PersonalityType,ProjectDescription,SoftSkill
2328,Masters,2017,New Delhi,30,2,8,Project related to conducting user research using technology JavaScript and framework Flask.,"['Adaptability to change', 'Critical thinking', 'Interpersonal communication']"
2329,Bachelors,2015,Bangalore,28,1,5,Project related to preparing data analysis using technology HTML and framework Spring.,"['Collaboration', 'Presentation skills', 'Stress management', 'Change management', 'Project management']"
2330,Bachelors,2013,Bangalore,27,5,4,Project related to implementing a data management system using technology HTML and framework Spring.,"['Team management', 'Collaboration', 'Decision-making', 'Time management']"
2331,Bachelors,2012,Bangalore,26,4,1,Project related to implementing a data management system using technology CSS and framework Spring.,"['Strategic thinking', 'Emotional intelligence', 'Critical assessment skills', 'Leadership', 'Interpersonal communication']"
2332,Bachelors,2018,Bangalore,28,2,4,Project related to preparing data analysis using technology CSS and framework Angular.,"['Strategic thinking', 'Flexibility', 'Teamwork', 'Critical assessment skills', 'Listening skills']"
2333,Masters,2017,New Delhi,28,2,4,Project related to integrating various systems using technology JavaScript and framework Vue.,"['Creativity', 'Critical thinking', 'Negotiation']"
2334,Bachelors,2015,Bangalore,29,2,7,Project related to optimizing existing software using technology C# and framework Django.,"['Change management', 'Strategic thinking', 'Risk management', 'Time management', 'Collaboration']"
2335,Bachelors,2012,New Delhi,30,1,2,Project related to implementing continuous integration and deployment (CI/CD) using technology CSS and framework React.,"['Listening skills', 'Change management', 'Presentation skills', 'Risk management', 'Data analysis']"
2336,Masters,2016,Pune,30,1,3,Project related to implementing security measures using technology C# and framework Angular.,"['Flexibility', 'Stress management', 'Project management', 'Listening skills', 'Decision-making', 'Data analysis']"
2337,Bachelors,2014,Pune,30,1,8,Project related to building a machine learning model using technology HTML and framework Ruby on Rails.,"['Emotional intelligence', 'Project management', 'Creativity', 'Critical assessment skills', 'Networking']"
2338,Bachelors,2018,Bangalore,26,4,3,Project related to creating a web application using technology C# and framework Spring.,"['Adaptability to change', 'Persuasion', 'Emotional intelligence']"
2339,Masters,2017,Bangalore,26,4,8,Project related to integrating various systems using technology Ruby and framework Django.,"['Interpersonal communication', 'Persuasion', 'Stress management', 'Strategic thinking', 'Networking', 'Team management']"
2340,Bachelors,2012,New Delhi,27,5,3,Project related to developing a chatbot using technology Python and framework Vue.,"['Networking', 'Ability to work in a diverse environment', 'Presentation skills']"
2341,Bachelors,2018,Bangalore,26,4,7,Project related to creating a web application using technology JavaScript and framework Angular.,"['Project management', 'Organization', 'Data analysis', 'Networking', 'Strategic thinking']"
2342,PHD,2014,Bangalore,27,5,6,Project related to building a content management system using technology SQL and framework Flask.,"['Adaptability to change', 'Collaboration', 'Stress management', 'Emotional intelligence', 'Networking', 'Ability to work in a diverse environment']"
2343,Masters,2017,New Delhi,26,4,5,Project related to writing technical documentation using technology Ruby and framework React.,"['Leadership', 'Emotional intelligence', 'Motivation', 'Organization', 'Negotiation', 'Problem-solving']"
2344,Bachelors,2013,Bangalore,30,1,4,Project related to implementing continuous integration and deployment (CI/CD) using technology Ruby and framework Angular.,"['Negotiation', 'Conflict management', 'Team management', 'Listening skills', 'Empathy']"
2345,Bachelors,2012,Bangalore,30,2,4,Project related to designing a database schema using technology SQL and framework Spring.,"['Listening skills', 'Critical thinking', 'Change management']"
2346,Masters,2018,New Delhi,26,4,8,Project related to creating a web application using technology SQL and framework Flask.,"['Time management', 'Risk management', 'Interpersonal communication', 'Emotional intelligence']"
2347,Bachelors,2013,Bangalore,28,1,4,Project related to implementing security measures using technology CSS and framework React.,"['Persuasion', 'Collaboration', 'Motivation', 'Networking', 'Emotional intelligence', 'Creativity']"
2348,Bachelors,2017,Bangalore,30,1,5,Project related to implementing security measures using technology PHP and framework Spring.,"['Creativity', 'Team management', 'Collaboration', 'Decision-making']"
2349,Masters,2017,Pune,30,2,2,Project related to implementing a data management system using technology SQL and framework Angular.,"['Strategic thinking', 'Critical assessment skills', 'Problem-solving', 'Flexibility', 'Persuasion', 'Leadership']"
2350,PHD,2016,Bangalore,27,5,3,Project related to creating a data visualization dashboard using technology SQL and framework Django.,"['Assertiveness', 'Problem-solving', 'Motivation']"
2351,Bachelors,2016,New Delhi,28,2,5,Project related to creating user interfaces using technology PHP and framework Ruby on Rails.,"['Assertiveness', 'Negotiation', 'Interpersonal communication']"
2352,Bachelors,2015,Pune,29,1,3,Project related to preparing data analysis using technology CSS and framework Vue.,"['Strategic thinking', 'Change management', 'Risk management', 'Interpersonal communication']"
2353,Bachelors,2013,Bangalore,27,5,1,Project related to creating a responsive design using technology HTML and framework Django.,"['Teamwork', 'Flexibility', 'Interpersonal communication', 'Leadership']"
2354,Masters,2014,Pune,27,5,7,Project related to automating testing processes using technology Ruby and framework Angular.,"['Assertiveness', 'Creativity', 'Team management', 'Emotional intelligence', 'Project management', 'Strategic thinking']"
2355,Masters,2017,New Delhi,26,4,7,Project related to creating a web application using technology C# and framework Vue.,"['Interpersonal communication', 'Collaboration', 'Critical thinking', 'Empathy', 'Critical assessment skills', 'Conflict management']"
2356,Masters,2017,New Delhi,30,1,8,Project related to implementing continuous integration and deployment (CI/CD) using technology CSS and framework Angular.,"['Critical thinking', 'Persuasion', 'Negotiation', 'Creativity', 'Ability to work in a diverse environment', 'Emotional intelligence']"
2357,Masters,2018,New Delhi,27,5,8,Project related to conducting user research using technology HTML and framework Vue.,"['Team management', 'Conflict management', 'Collaboration', 'Ability to work in a diverse environment', 'Stress management', 'Teamwork']"
2358,Bachelors,2017,Pune,29,1,4,Project related to optimizing existing software using technology JavaScript and framework Flask.,"['Emotional intelligence', 'Project management', 'Stress management', 'Presentation skills']"
2359,Masters,2014,New Delhi,29,1,8,Project related to conducting user research using technology CSS and framework Angular.,"['Project management', 'Networking', 'Decision-making', 'Negotiation', 'Stress management', 'Persuasion']"
2360,Bachelors,2015,Pune,30,2,5,Project related to designing a database schema using technology SQL and framework Vue.,"['Empathy', 'Motivation', 'Listening skills', 'Negotiation']"
2361,Bachelors,2014,Bangalore,30,2,8,Project related to writing technical documentation using technology SQL and framework Spring.,"['Flexibility', 'Listening skills', 'Motivation', 'Stress management', 'Networking']"
2362,Masters,2018,New Delhi,30,2,1,Project related to implementing continuous integration and deployment (CI/CD) using technology JavaScript and framework React.,"['Project management', 'Listening skills', 'Assertiveness', 'Leadership']"
2363,Bachelors,2017,Bangalore,29,1,8,Project related to developing an API using technology CSS and framework React.,"['Persuasion', 'Time management', 'Negotiation', 'Collaboration']"
2364,Bachelors,2016,Pune,28,2,2,Project related to implementing continuous integration and deployment (CI/CD) using technology PHP and framework React.,"['Teamwork', 'Time management', 'Critical thinking', 'Assertiveness']"
2365,Bachelors,2018,Bangalore,26,4,8,Project related to integrating various systems using technology Java and framework Angular.,"['Stress management', 'Conflict management', 'Strategic thinking']"
2366,Bachelors,2014,Bangalore,28,2,8,Project related to creating a responsive design using technology C# and framework Spring.,"['Creativity', 'Emotional intelligence', 'Teamwork', 'Adaptability to change']"
2367,Masters,2017,New Delhi,29,2,3,Project related to building a machine learning model using technology JavaScript and framework Ruby on Rails.,"['Networking', 'Decision-making', 'Stress management', 'Conflict management', 'Critical assessment skills', 'Empathy']"
2368,Masters,2013,New Delhi,26,4,6,Project related to implementing security measures using technology JavaScript and framework Flask.,"['Risk management', 'Listening skills', 'Project management', 'Stress management']"
2369,Bachelors,2017,New Delhi,28,1,2,Project related to building a machine learning model using technology Python and framework React.,"['Assertiveness', 'Collaboration', 'Organization', 'Strategic thinking', 'Adaptability to change']"
2370,Bachelors,2016,Bangalore,30,1,6,Project related to conducting user research using technology Ruby and framework Ruby on Rails.,"['Organization', 'Teamwork', 'Problem-solving', 'Strategic thinking']"
2371,PHD,2015,Pune,27,5,6,Project related to integrating various systems using technology JavaScript and framework Ruby on Rails.,"['Critical thinking', 'Stress management', 'Leadership', 'Networking', 'Negotiation']"
2372,Bachelors,2016,Bangalore,29,2,1,Project related to developing a chatbot using technology JavaScript and framework Vue.,"['Change management', 'Flexibility', 'Stress management']"
2373,Bachelors,2014,Pune,28,2,4,Project related to automating testing processes using technology PHP and framework Spring.,"['Time management', 'Creativity', 'Data analysis', 'Risk management', 'Persuasion', 'Decision-making']"
2374,Bachelors,2016,Bangalore,26,4,5,Project related to creating a web application using technology Python and framework Flask.,"['Critical thinking', 'Organization', 'Emotional intelligence', 'Problem-solving', 'Negotiation']"
2375,Masters,2017,New Delhi,30,2,3,Project related to developing a mobile application using technology C# and framework Django.,"['Change management', 'Interpersonal communication', 'Assertiveness', 'Project management', 'Networking', 'Risk management']"
2376,PHD,2013,New Delhi,30,2,7,Project related to deploying applications to the cloud using technology C# and framework React.,"['Data analysis', 'Change management', 'Teamwork']"
2377,Bachelors,2015,Bangalore,29,2,8,Project related to optimizing existing software using technology Python and framework Ruby on Rails.,"['Change management', 'Critical assessment skills', 'Interpersonal communication', 'Adaptability to change', 'Motivation']"
2378,Bachelors,2017,Bangalore,28,2,6,Project related to developing a mobile application using technology C# and framework React.,"['Interpersonal communication', 'Empathy', 'Decision-making', 'Stress management']"
2379,Bachelors,2015,Bangalore,29,2,7,Project related to deploying applications to the cloud using technology CSS and framework Ruby on Rails.,"['Negotiation', 'Creativity', 'Stress management', 'Interpersonal communication', 'Decision-making', 'Listening skills']"
2380,Bachelors,2015,Pune,26,4,5,Project related to developing a chatbot using technology Ruby and framework Ruby on Rails.,"['Critical thinking', 'Time management', 'Assertiveness', 'Organization']"
2381,Bachelors,2013,Bangalore,28,1,5,Project related to implementing security measures using technology Ruby and framework Angular.,"['Project management', 'Strategic thinking', 'Listening skills', 'Conflict management', 'Problem-solving', 'Critical thinking']"
2382,Bachelors,2015,Pune,29,2,5,Project related to developing an API using technology SQL and framework Spring.,"['Adaptability to change', 'Strategic thinking', 'Data analysis', 'Organization', 'Presentation skills', 'Leadership']"
2383,Bachelors,2013,Bangalore,26,4,7,Project related to developing an API using technology JavaScript and framework Angular.,"['Critical assessment skills', 'Negotiation', 'Emotional intelligence', 'Stress management', 'Networking', 'Organization']"
2384,Masters,2014,Pune,30,2,6,Project related to creating a responsive design using technology Python and framework Django.,"['Critical assessment skills', 'Leadership', 'Time management']"
2385,Masters,2017,Pune,30,2,8,Project related to enhancing system performance using technology HTML and framework React.,"['Creativity', 'Strategic thinking', 'Assertiveness', 'Collaboration']"
2386,Bachelors,2017,Pune,27,5,4,Project related to implementing security measures using technology Java and framework React.,"['Critical assessment skills', 'Flexibility', 'Critical thinking', 'Listening skills', 'Empathy', 'Teamwork']"
2387,Bachelors,2014,New Delhi,28,2,5,Project related to optimizing existing software using technology SQL and framework Flask.,"['Empathy', 'Networking', 'Assertiveness']"
2388,Bachelors,2014,New Delhi,27,5,3,Project related to enhancing system performance using technology Python and framework Spring.,"['Listening skills', 'Project management', 'Interpersonal communication', 'Motivation', 'Problem-solving']"
2389,Bachelors,2015,Pune,29,1,8,Project related to developing a mobile application using technology C# and framework Ruby on Rails.,"['Flexibility', 'Collaboration', 'Presentation skills', 'Networking']"
2390,Bachelors,2013,Pune,26,4,4,Project related to writing technical documentation using technology Java and framework Vue.,"['Problem-solving', 'Data analysis', 'Strategic thinking', 'Critical thinking', 'Interpersonal communication']"
2391,Bachelors,2014,New Delhi,30,1,7,Project related to automating testing processes using technology Java and framework Flask.,"['Presentation skills', 'Risk management', 'Motivation', 'Persuasion']"
2392,Bachelors,2013,Pune,26,4,2,Project related to designing a database schema using technology CSS and framework Flask.,"['Motivation', 'Negotiation', 'Project management', 'Emotional intelligence', 'Time management']"
2393,Bachelors,2016,Bangalore,26,4,3,Project related to creating a responsive design using technology HTML and framework Django.,"['Persuasion', 'Negotiation', 'Collaboration', 'Stress management', 'Presentation skills']"
2394,Masters,2017,New Delhi,28,2,8,Project related to creating a web application using technology SQL and framework React.,"['Interpersonal communication', 'Conflict management', 'Project management', 'Data analysis']"
2395,Masters,2017,New Delhi,27,5,2,Project related to enhancing system performance using technology HTML and framework Spring.,"['Presentation skills', 'Decision-making', 'Adaptability to change']"
2396,Bachelors,2017,Pune,29,1,4,Project related to preparing data analysis using technology CSS and framework Angular.,"['Assertiveness', 'Empathy', 'Listening skills', 'Collaboration', 'Strategic thinking']"
2397,Masters,2017,New Delhi,28,1,3,Project related to deploying applications to the cloud using technology JavaScript and framework Spring.,"['Adaptability to change', 'Listening skills', 'Teamwork', 'Stress management']"
2398,Bachelors,2017,New Delhi,26,4,8,Project related to deploying applications to the cloud using technology CSS and framework Ruby on Rails.,"['Project management', 'Flexibility', 'Strategic thinking', 'Critical thinking', 'Persuasion', 'Networking']"
2399,Bachelors,2014,Bangalore,29,1,1,Project related to implementing continuous integration and deployment (CI/CD) using technology JavaScript and framework Ruby on Rails.,"['Assertiveness', 'Change management', 'Collaboration']"
2400,Bachelors,2012,Bangalore,28,1,3,Project related to building a machine learning model using technology PHP and framework Flask.,"['Ability to work in a diverse environment', 'Decision-making', 'Leadership', 'Critical assessment skills', 'Organization', 'Problem-solving']"
2401,Bachelors,2016,Bangalore,27,5,8,Project related to creating a responsive design using technology Java and framework Vue.,"['Strategic thinking', 'Leadership', 'Networking', 'Empathy', 'Organization']"
2402,Bachelors,2012,Bangalore,28,1,4,Project related to developing an API using technology Java and framework Ruby on Rails.,"['Creativity', 'Listening skills', 'Leadership']"
2403,Masters,2015,Pune,30,2,8,Project related to implementing a data management system using technology CSS and framework React.,"['Strategic thinking', 'Motivation', 'Ability to work in a diverse environment', 'Leadership']"
2404,Masters,2017,New Delhi,28,2,1,Project related to creating a responsive design using technology CSS and framework Spring.,"['Decision-making', 'Strategic thinking', 'Negotiation', 'Flexibility']"
2405,Masters,2015,Pune,29,1,5,Project related to creating user interfaces using technology JavaScript and framework Spring.,"['Leadership', 'Project management', 'Decision-making']"
2406,Masters,2015,Bangalore,26,4,8,Project related to designing a database schema using technology JavaScript and framework Angular.,"['Time management', 'Data analysis', 'Project management']"
2407,Bachelors,2013,Bangalore,26,4,7,Project related to developing an API using technology CSS and framework Flask.,"['Leadership', 'Interpersonal communication', 'Persuasion', 'Critical thinking']"
2408,Bachelors,2017,Bangalore,29,1,3,Project related to developing a mobile application using technology Ruby and framework Ruby on Rails.,"['Time management', 'Negotiation', 'Presentation skills']"
2409,Bachelors,2017,Bangalore,27,5,2,Project related to conducting user research using technology JavaScript and framework Django.,"['Project management', 'Leadership', 'Networking']"
2410,Bachelors,2014,New Delhi,29,2,7,Project related to creating a data visualization dashboard using technology Ruby and framework Spring.,"['Emotional intelligence', 'Risk management', 'Critical assessment skills', 'Data analysis', 'Stress management']"
2411,Bachelors,2017,New Delhi,27,5,3,Project related to preparing data analysis using technology CSS and framework Flask.,"['Motivation', 'Team management', 'Emotional intelligence', 'Flexibility', 'Teamwork', 'Leadership']"
2412,Masters,2017,Pune,28,2,7,Project related to implementing a data management system using technology CSS and framework Angular.,"['Negotiation', 'Listening skills', 'Organization', 'Critical assessment skills']"
2413,Masters,2013,New Delhi,27,5,8,Project related to enhancing system performance using technology CSS and framework Vue.,"['Presentation skills', 'Assertiveness', 'Teamwork', 'Risk management', 'Project management']"
2414,Masters,2017,New Delhi,27,5,6,Project related to developing an API using technology HTML and framework Ruby on Rails.,"['Leadership', 'Critical assessment skills', 'Empathy', 'Adaptability to change']"
2415,Bachelors,2013,Bangalore,30,2,2,Project related to implementing continuous integration and deployment (CI/CD) using technology C# and framework Django.,"['Conflict management', 'Stress management', 'Decision-making', 'Project management']"
2416,Bachelors,2015,Pune,27,5,1,Project related to developing a mobile application using technology Ruby and framework Spring.,"['Conflict management', 'Risk management', 'Interpersonal communication']"
2417,Bachelors,2014,Bangalore,26,4,4,Project related to writing technical documentation using technology C# and framework Spring.,"['Decision-making', 'Empathy', 'Strategic thinking']"
2418,Bachelors,2015,Bangalore,27,5,1,Project related to creating a web application using technology Python and framework Spring.,"['Persuasion', 'Conflict management', 'Stress management', 'Team management', 'Critical thinking']"
2419,Bachelors,2015,Bangalore,30,2,3,Project related to conducting user research using technology Python and framework Vue.,"['Leadership', 'Presentation skills', 'Networking', 'Interpersonal communication', 'Critical assessment skills']"
2420,Masters,2017,Bangalore,27,5,6,Project related to creating a responsive design using technology C# and framework Vue.,"['Critical assessment skills', 'Empathy', 'Problem-solving', 'Leadership', 'Emotional intelligence', 'Data analysis']"
2421,Bachelors,2017,Bangalore,30,2,8,Project related to creating a data visualization dashboard using technology Java and framework Vue.,"['Interpersonal communication', 'Project management', 'Teamwork']"
2422,Bachelors,2016,Pune,30,2,3,Project related to preparing data analysis using technology Python and framework Angular.,"['Conflict management', 'Flexibility', 'Interpersonal communication', 'Team management', 'Collaboration']"
2423,Masters,2016,Pune,27,5,1,Project related to developing an API using technology Java and framework Django.,"['Leadership', 'Project management', 'Listening skills', 'Collaboration', 'Strategic thinking']"
2424,Bachelors,2012,Bangalore,26,4,3,Project related to creating a web application using technology SQL and framework Spring.,"['Emotional intelligence', 'Organization', 'Collaboration', 'Change management']"
2425,Bachelors,2014,Bangalore,27,5,2,Project related to implementing a data management system using technology Java and framework Flask.,"['Data analysis', 'Organization', 'Collaboration', 'Decision-making']"
2426,Bachelors,2015,Pune,29,2,8,Project related to designing a database schema using technology PHP and framework Spring.,"['Negotiation', 'Ability to work in a diverse environment', 'Creativity', 'Organization']"
2427,Bachelors,2013,New Delhi,26,4,1,Project related to designing a database schema using technology SQL and framework React.,"['Motivation', 'Networking', 'Stress management', 'Decision-making', 'Critical assessment skills']"
2428,Bachelors,2015,Pune,29,2,7,Project related to developing a chatbot using technology Ruby and framework Angular.,"['Organization', 'Networking', 'Risk management', 'Conflict management', 'Change management']"
2429,Bachelors,2013,Pune,28,2,4,Project related to enhancing system performance using technology Python and framework Ruby on Rails.,"['Emotional intelligence', 'Flexibility', 'Problem-solving', 'Team management', 'Leadership']"
2430,Bachelors,2013,Pune,27,5,3,Project related to creating a data visualization dashboard using technology SQL and framework Angular.,"['Change management', 'Listening skills', 'Critical thinking']"
2431,Masters,2014,New Delhi,28,1,5,Project related to building a content management system using technology Java and framework Ruby on Rails.,"['Collaboration', 'Problem-solving', 'Persuasion']"
2432,Bachelors,2016,New Delhi,27,5,4,Project related to integrating various systems using technology Python and framework Ruby on Rails.,"['Stress management', 'Interpersonal communication', 'Ability to work in a diverse environment', 'Conflict management']"
2433,Bachelors,2016,New Delhi,29,2,1,Project related to implementing security measures using technology Python and framework Angular.,"['Negotiation', 'Listening skills', 'Risk management', 'Adaptability to change']"
2434,Masters,2018,New Delhi,26,4,1,Project related to developing a chatbot using technology CSS and framework React.,"['Persuasion', 'Networking', 'Stress management', 'Collaboration']"
2435,Bachelors,2015,Bangalore,27,5,7,Project related to enhancing system performance using technology C# and framework Angular.,"['Strategic thinking', 'Decision-making', 'Data analysis', 'Teamwork', 'Presentation skills']"
2436,Bachelors,2013,Pune,27,5,2,Project related to creating a responsive design using technology Java and framework Spring.,"['Assertiveness', 'Flexibility', 'Motivation']"
2437,Bachelors,2014,New Delhi,28,2,2,Project related to creating a responsive design using technology HTML and framework Spring.,"['Conflict management', 'Persuasion', 'Critical assessment skills', 'Empathy']"
2438,Bachelors,2014,Bangalore,27,5,3,Project related to building a machine learning model using technology Python and framework Django.,"['Listening skills', 'Empathy', 'Collaboration', 'Motivation', 'Leadership', 'Adaptability to change']"
2439,Bachelors,2016,Bangalore,29,1,7,Project related to designing a database schema using technology CSS and framework Spring.,"['Listening skills', 'Motivation', 'Flexibility', 'Stress management']"
2440,Bachelors,2012,Bangalore,29,1,5,Project related to optimizing existing software using technology CSS and framework React.,"['Critical assessment skills', 'Decision-making', 'Change management']"
2441,Bachelors,2018,Bangalore,29,2,2,Project related to implementing security measures using technology HTML and framework React.,"['Flexibility', 'Change management', 'Risk management']"
2442,Bachelors,2012,Pune,30,1,3,Project related to building a machine learning model using technology CSS and framework Flask.,"['Negotiation', 'Listening skills', 'Persuasion', 'Creativity']"
2443,Bachelors,2013,Bangalore,30,1,1,Project related to preparing data analysis using technology Java and framework Vue.,"['Strategic thinking', 'Critical assessment skills', 'Project management']"
2444,Bachelors,2014,Bangalore,27,5,2,Project related to building a content management system using technology HTML and framework Angular.,"['Motivation', 'Teamwork', 'Collaboration', 'Stress management', 'Assertiveness', 'Team management']"
2445,Bachelors,2015,New Delhi,29,1,5,Project related to integrating various systems using technology Python and framework React.,"['Listening skills', 'Flexibility', 'Creativity', 'Critical assessment skills']"
2446,Bachelors,2014,Bangalore,30,1,8,Project related to creating a web application using technology HTML and framework Vue.,"['Flexibility', 'Conflict management', 'Critical assessment skills', 'Stress management', 'Listening skills', 'Ability to work in a diverse environment']"
2447,Bachelors,2014,Pune,28,2,8,Project related to implementing security measures using technology PHP and framework Ruby on Rails.,"['Time management', 'Team management', 'Stress management', 'Flexibility', 'Assertiveness']"
2448,Bachelors,2015,Pune,27,5,8,Project related to integrating various systems using technology CSS and framework Spring.,"['Interpersonal communication', 'Ability to work in a diverse environment', 'Critical thinking', 'Collaboration', 'Leadership', 'Creativity']"
2449,Bachelors,2016,Bangalore,30,1,7,Project related to creating user interfaces using technology JavaScript and framework Flask.,"['Presentation skills', 'Listening skills', 'Critical thinking']"
2450,Bachelors,2016,Pune,26,4,7,Project related to developing a mobile application using technology Ruby and framework Spring.,"['Creativity', 'Ability to work in a diverse environment', 'Assertiveness', 'Presentation skills', 'Organization']"
2451,Bachelors,2018,New Delhi,27,5,3,Project related to integrating various systems using technology CSS and framework Ruby on Rails.,"['Leadership', 'Critical thinking', 'Teamwork', 'Negotiation']"
2452,Bachelors,2015,Bangalore,26,4,3,Project related to optimizing existing software using technology HTML and framework Spring.,"['Interpersonal communication', 'Creativity', 'Flexibility']"
2453,Masters,2017,New Delhi,27,5,1,Project related to optimizing existing software using technology JavaScript and framework Ruby on Rails.,"['Decision-making', 'Empathy', 'Time management', 'Assertiveness', 'Persuasion', 'Adaptability to change']"
2454,Bachelors,2015,Bangalore,26,4,8,Project related to writing technical documentation using technology SQL and framework React.,"['Risk management', 'Critical thinking', 'Interpersonal communication', 'Critical assessment skills', 'Stress management']"
2455,Bachelors,2017,Pune,26,4,2,Project related to building a content management system using technology HTML and framework Angular.,"['Listening skills', 'Networking', 'Creativity', 'Adaptability to change', 'Conflict management']"
2456,Bachelors,2012,Pune,27,5,6,Project related to developing a mobile application using technology C# and framework React.,"['Creativity', 'Flexibility', 'Networking', 'Presentation skills', 'Time management', 'Change management']"
2457,Bachelors,2016,Bangalore,26,4,1,Project related to building a content management system using technology CSS and framework Spring.,"['Organization', 'Change management', 'Collaboration', 'Listening skills']"
2458,PHD,2017,Bangalore,28,1,3,Project related to writing technical documentation using technology PHP and framework Flask.,"['Decision-making', 'Adaptability to change', 'Stress management']"
2459,Bachelors,2015,Pune,29,1,8,Project related to writing technical documentation using technology CSS and framework React.,"['Networking', 'Data analysis', 'Conflict management', 'Listening skills', 'Change management', 'Creativity']"
2460,Masters,2014,New Delhi,30,2,4,Project related to designing a database schema using technology PHP and framework Angular.,"['Teamwork', 'Strategic thinking', 'Flexibility']"
2461,Bachelors,2013,Pune,26,4,6,Project related to developing a chatbot using technology HTML and framework Ruby on Rails.,"['Stress management', 'Motivation', 'Ability to work in a diverse environment', 'Team management']"
2462,Bachelors,2012,Bangalore,27,5,8,Project related to creating a responsive design using technology Ruby and framework Spring.,"['Collaboration', 'Negotiation', 'Change management', 'Motivation']"
2463,Bachelors,2015,Pune,28,1,6,Project related to implementing continuous integration and deployment (CI/CD) using technology CSS and framework Flask.,"['Presentation skills', 'Interpersonal communication', 'Critical thinking', 'Project management', 'Networking']"
2464,Bachelors,2013,Bangalore,26,4,3,Project related to creating user interfaces using technology Python and framework Spring.,"['Risk management', 'Time management', 'Team management', 'Conflict management', 'Data analysis']"
2465,Bachelors,2013,New Delhi,26,4,4,Project related to preparing data analysis using technology JavaScript and framework Flask.,"['Conflict management', 'Motivation', 'Organization', 'Critical thinking', 'Empathy']"
2466,Masters,2012,New Delhi,30,2,7,Project related to creating user interfaces using technology Java and framework Flask.,"['Emotional intelligence', 'Change management', 'Negotiation', 'Leadership']"
2467,PHD,2013,New Delhi,27,5,5,Project related to developing a chatbot using technology JavaScript and framework Django.,"['Problem-solving', 'Conflict management', 'Data analysis', 'Organization', 'Adaptability to change', 'Decision-making']"
2468,Bachelors,2012,Bangalore,27,5,5,Project related to creating user interfaces using technology Java and framework Spring.,"['Negotiation', 'Empathy', 'Listening skills', 'Interpersonal communication']"
2469,Bachelors,2018,Bangalore,30,1,6,Project related to optimizing existing software using technology JavaScript and framework React.,"['Motivation', 'Risk management', 'Adaptability to change', 'Ability to work in a diverse environment']"
2470,Bachelors,2012,Bangalore,26,4,3,Project related to creating a web application using technology HTML and framework Django.,"['Persuasion', 'Leadership', 'Presentation skills', 'Project management', 'Organization']"
2471,Masters,2017,New Delhi,29,2,2,Project related to creating a web application using technology Ruby and framework React.,"['Ability to work in a diverse environment', 'Stress management', 'Critical assessment skills', 'Team management', 'Strategic thinking', 'Time management']"
2472,Bachelors,2014,Bangalore,29,2,2,Project related to optimizing existing software using technology PHP and framework Ruby on Rails.,"['Interpersonal communication', 'Risk management', 'Critical thinking']"
2473,Bachelors,2017,New Delhi,28,1,3,Project related to integrating various systems using technology PHP and framework React.,"['Stress management', 'Critical assessment skills', 'Decision-making', 'Critical thinking', 'Motivation']"
2474,Bachelors,2015,Pune,26,4,3,Project related to optimizing existing software using technology PHP and framework Angular.,"['Creativity', 'Negotiation', 'Adaptability to change']"
2475,Bachelors,2018,Bangalore,27,5,5,Project related to writing technical documentation using technology Java and framework Flask.,"['Networking', 'Negotiation', 'Empathy', 'Critical thinking', 'Problem-solving', 'Assertiveness']"
2476,Bachelors,2014,Bangalore,28,1,6,Project related to implementing a data management system using technology Java and framework Angular.,"['Change management', 'Decision-making', 'Leadership']"
2477,Bachelors,2016,Bangalore,28,1,1,Project related to integrating various systems using technology Python and framework React.,"['Networking', 'Assertiveness', 'Motivation', 'Critical thinking']"
2478,Bachelors,2014,Pune,26,4,6,Project related to creating a web application using technology C# and framework Ruby on Rails.,"['Risk management', 'Flexibility', 'Motivation', 'Data analysis']"
2479,Bachelors,2012,Pune,26,4,3,Project related to building a machine learning model using technology JavaScript and framework React.,"['Leadership', 'Risk management', 'Project management']"
2480,Bachelors,2015,Bangalore,28,2,7,Project related to implementing a data management system using technology PHP and framework Vue.,"['Negotiation', 'Risk management', 'Ability to work in a diverse environment']"
2481,Bachelors,2014,Bangalore,28,1,4,Project related to building a content management system using technology CSS and framework Django.,"['Strategic thinking', 'Project management', 'Organization']"
2482,Bachelors,2016,Bangalore,27,5,6,Project related to building a machine learning model using technology Java and framework Django.,"['Persuasion', 'Ability to work in a diverse environment', 'Teamwork']"
2483,PHD,2012,New Delhi,29,2,5,Project related to conducting user research using technology CSS and framework Django.,"['Teamwork', 'Assertiveness', 'Project management']"
2484,Bachelors,2013,Bangalore,30,2,6,Project related to implementing security measures using technology HTML and framework Spring.,"['Networking', 'Time management', 'Data analysis', 'Decision-making']"
2485,Bachelors,2016,Bangalore,26,4,3,Project related to enhancing system performance using technology JavaScript and framework Vue.,"['Change management', 'Negotiation', 'Organization', 'Critical assessment skills', 'Emotional intelligence', 'Stress management']"
2486,Bachelors,2014,Pune,28,1,1,Project related to designing a database schema using technology SQL and framework Vue.,"['Critical assessment skills', 'Emotional intelligence', 'Project management', 'Networking', 'Team management']"
2487,Masters,2013,New Delhi,26,4,5,Project related to implementing security measures using technology SQL and framework Django.,"['Leadership', 'Creativity', 'Listening skills', 'Empathy', 'Ability to work in a diverse environment', 'Decision-making']"
2488,Bachelors,2017,Bangalore,27,5,4,Project related to integrating various systems using technology JavaScript and framework Ruby on Rails.,"['Emotional intelligence', 'Conflict management', 'Collaboration', 'Flexibility', 'Strategic thinking', 'Risk management']"
